"filename", "language", "JSON", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_controller.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\invert_color.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Projects\FlutterProjects\neuroparenting\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\FlutterProjects\neuroparenting\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Projects\FlutterProjects\neuroparenting\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 4, 33
"d:\Projects\FlutterProjects\neuroparenting\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Projects\FlutterProjects\neuroparenting\macos\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\public\index.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 6, 5, 90
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 58, 19, 156
"d:\Projects\FlutterProjects\neuroparenting\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Projects\FlutterProjects\neuroparenting\web\index.html", "HTML", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 16, 16, 135
"d:\Projects\FlutterProjects\neuroparenting\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 39
